Date,Price (USD)
2023-11-12 12:11:57+00:00,87
2023-11-12 12:18:00+00:00,87
2023-11-12 12:24:03+00:00,87
2023-11-12 12:30:06+00:00,87
2023-11-12 12:36:09+00:00,99
2023-11-12 12:42:12+00:00,99
2023-11-12 12:48:15+00:00,99
2023-11-12 12:54:18+00:00,99
2023-11-12 13:00:21+00:00,99
2023-11-12 13:06:24+00:00,99
2023-11-12 13:12:27+00:00,99
2023-11-12 13:18:30+00:00,99
2023-11-12 13:24:33+00:00,99
2023-11-12 13:30:36+00:00,87
2023-11-12 13:36:39+00:00,95
2023-11-12 13:42:42+00:00,95
2023-11-12 13:48:45+00:00,87
2023-11-12 13:54:48+00:00,87
2023-11-12 14:00:51+00:00,96
2023-11-12 14:06:54+00:00,96
2023-11-12 14:12:57+00:00,92
2023-11-12 14:19:00+00:00,89
2023-11-12 14:25:03+00:00,96
2023-11-12 14:31:06+00:00,111
2023-11-12 14:37:09+00:00,111
2023-11-12 14:43:12+00:00,93
2023-11-12 14:49:15+00:00,93
2023-11-12 14:55:18+00:00,82
2023-11-12 15:01:21+00:00,87
2023-11-12 15:07:24+00:00,87
2023-11-12 15:13:27+00:00,102
2023-11-12 15:19:30+00:00,87
2023-11-12 15:25:33+00:00,83
2023-11-12 15:31:36+00:00,83
2023-11-12 15:37:39+00:00,83
2023-11-12 15:43:42+00:00,83
2023-11-12 15:49:45+00:00,83
2023-11-12 15:55:48+00:00,94
2023-11-12 16:01:51+00:00,110
2023-11-12 16:07:54+00:00,110
2023-11-12 16:13:57+00:00,91
2023-11-12 16:20:00+00:00,87
2023-11-12 16:26:03+00:00,87
2023-11-12 16:32:06+00:00,79
2023-11-12 16:38:09+00:00,104
2023-11-12 16:44:12+00:00,87
2023-11-12 16:50:15+00:00,87
2023-11-12 16:56:18+00:00,87
2023-11-12 17:02:21+00:00,87
2023-11-12 17:08:24+00:00,87
2023-11-12 17:14:27+00:00,106
2023-11-12 17:20:30+00:00,87
2023-11-12 17:26:33+00:00,100
2023-11-12 17:32:36+00:00,87
2023-11-12 17:38:39+00:00,91
2023-11-12 17:44:42+00:00,81
2023-11-12 17:50:45+00:00,86
2023-11-12 17:56:48+00:00,86
2023-11-12 18:02:51+00:00,86
2023-11-12 18:08:54+00:00,143
2023-11-12 18:14:57+00:00,85
2023-11-12 18:21:00+00:00,87
2023-11-12 18:27:03+00:00,101
2023-11-12 18:33:06+00:00,87
2023-11-12 18:39:09+00:00,101
2023-11-12 18:45:12+00:00,102
2023-11-12 18:51:15+00:00,104
2023-11-12 18:57:18+00:00,91
2023-11-12 19:03:21+00:00,87
2023-11-12 19:09:24+00:00,87
2023-11-12 19:15:27+00:00,93
2023-11-12 19:21:30+00:00,110
2023-11-12 19:27:33+00:00,93
2023-11-12 19:33:36+00:00,86
2023-11-12 19:39:39+00:00,86
2023-11-12 19:45:42+00:00,112
2023-11-12 19:51:45+00:00,86
2023-11-12 19:57:48+00:00,96
2023-11-12 20:03:51+00:00,96
2023-11-12 20:09:54+00:00,91
2023-11-12 20:15:57+00:00,118
2023-11-12 20:22:00+00:00,86
2023-11-12 20:28:03+00:00,85
2023-11-12 20:34:06+00:00,86
2023-11-12 20:40:09+00:00,86
2023-11-12 20:46:12+00:00,96
2023-11-12 20:52:15+00:00,94
2023-11-12 20:58:18+00:00,94
2023-11-12 21:04:21+00:00,86
2023-11-12 21:10:24+00:00,87
2023-11-12 21:16:27+00:00,100
2023-11-12 21:22:30+00:00,108
2023-11-12 21:28:33+00:00,108
2023-11-12 21:34:36+00:00,87
2023-11-12 21:40:39+00:00,129
2023-11-12 21:46:42+00:00,85
2023-11-12 21:52:45+00:00,86
2023-11-12 21:58:48+00:00,107
2023-11-12 22:04:51+00:00,107
2023-11-12 22:10:54+00:00,107
2023-11-12 22:16:57+00:00,109
2023-11-12 22:23:00+00:00,86
2023-11-12 22:29:03+00:00,86
2023-11-12 22:35:06+00:00,95
2023-11-12 22:41:09+00:00,95
2023-11-12 22:47:12+00:00,95
2023-11-12 22:53:15+00:00,94
2023-11-12 22:59:18+00:00,103
2023-11-12 23:05:21+00:00,88
2023-11-12 23:11:24+00:00,109
2023-11-12 23:17:27+00:00,109
2023-11-12 23:23:30+00:00,81
2023-11-12 23:29:33+00:00,96
2023-11-12 23:35:36+00:00,91
2023-11-12 23:41:39+00:00,91
2023-11-12 23:47:42+00:00,95
2023-11-12 23:53:45+00:00,87
2023-11-13 00:00:00+00:00,86
2023-11-13 00:06:03+00:00,86
2023-11-13 00:12:06+00:00,92
2023-11-13 00:18:09+00:00,87
2023-11-13 00:24:12+00:00,106
2023-11-13 00:30:15+00:00,97
2023-11-13 00:36:18+00:00,97
2023-11-13 00:42:21+00:00,104
2023-11-13 00:48:24+00:00,102
2023-11-13 00:54:27+00:00,102
2023-11-13 01:00:30+00:00,81
2023-11-13 01:06:33+00:00,81
2023-11-13 01:12:36+00:00,95
2023-11-13 01:18:39+00:00,95
2023-11-13 01:24:42+00:00,87
2023-11-13 01:30:45+00:00,108
2023-11-13 01:36:48+00:00,108
2023-11-13 01:42:51+00:00,102
2023-11-13 01:48:54+00:00,87
2023-11-13 01:54:57+00:00,86
2023-11-13 02:01:00+00:00,86
2023-11-13 02:07:03+00:00,99
2023-11-13 02:13:06+00:00,87
2023-11-13 02:19:09+00:00,87
2023-11-13 02:25:12+00:00,94
2023-11-13 02:31:15+00:00,88
2023-11-13 02:37:18+00:00,91
2023-11-13 02:43:21+00:00,99
2023-11-13 02:49:24+00:00,84
2023-11-13 02:55:27+00:00,81
2023-11-13 03:01:30+00:00,99
2023-11-13 03:07:33+00:00,109
2023-11-13 03:13:36+00:00,87
2023-11-13 03:19:39+00:00,123
2023-11-13 03:25:42+00:00,96
2023-11-13 03:31:45+00:00,96
2023-11-13 03:37:48+00:00,96
2023-11-13 03:43:51+00:00,96
2023-11-13 03:49:54+00:00,97
2023-11-13 03:55:57+00:00,97
2023-11-13 04:02:00+00:00,96
2023-11-13 04:08:03+00:00,106
2023-11-13 04:14:06+00:00,106
2023-11-13 04:20:09+00:00,106
2023-11-13 04:26:12+00:00,106
2023-11-13 04:32:15+00:00,106
2023-11-13 04:38:18+00:00,99
2023-11-13 04:44:21+00:00,99
2023-11-13 04:50:24+00:00,108
2023-11-13 04:56:27+00:00,113
2023-11-13 05:02:30+00:00,82
2023-11-13 05:08:33+00:00,82
2023-11-13 05:14:36+00:00,82
2023-11-13 05:20:39+00:00,82
2023-11-13 05:26:42+00:00,86
2023-11-13 05:32:45+00:00,86
2023-11-13 05:38:48+00:00,86
2023-11-13 05:44:51+00:00,86
2023-11-13 05:50:54+00:00,117
2023-11-13 05:56:57+00:00,80
2023-11-13 06:03:00+00:00,112
2023-11-13 06:09:03+00:00,110
2023-11-13 06:15:06+00:00,110
2023-11-13 06:21:09+00:00,110
2023-11-13 06:27:12+00:00,110
2023-11-13 06:33:15+00:00,86
2023-11-13 06:39:18+00:00,86
2023-11-13 06:45:21+00:00,123
2023-11-13 06:51:24+00:00,123
2023-11-13 06:57:27+00:00,123
2023-11-13 07:03:30+00:00,123
2023-11-13 07:09:33+00:00,95
2023-11-13 07:15:36+00:00,95
2023-11-13 07:21:39+00:00,95
2023-11-13 07:27:42+00:00,95
2023-11-13 07:33:45+00:00,95
2023-11-13 07:39:48+00:00,95
2023-11-13 07:45:51+00:00,95
2023-11-13 07:51:54+00:00,95
2023-11-13 07:57:57+00:00,95
2023-11-13 08:04:00+00:00,95
2023-11-13 08:10:03+00:00,95
