,Date,Price (USD)
356,2023-12-08 04:31:44+00:00,109
357,2023-12-08 06:29:48+00:00,107
358,2023-12-08 08:27:52+00:00,107
359,2023-12-08 10:25:56+00:00,110
360,2023-12-08 12:24:00+00:00,109
361,2023-12-08 14:22:04+00:00,109
362,2023-12-08 16:20:08+00:00,111
363,2023-12-08 18:18:12+00:00,107
364,2023-12-08 20:16:16+00:00,107
365,2023-12-08 22:14:20+00:00,106
366,2023-12-09 00:12:24+00:00,108
367,2023-12-09 02:10:28+00:00,108
368,2023-12-09 04:08:32+00:00,107
369,2023-12-09 06:06:36+00:00,117
370,2023-12-09 08:04:40+00:00,115
371,2023-12-09 10:02:44+00:00,111
372,2023-12-09 12:00:48+00:00,103
373,2023-12-09 13:58:52+00:00,108
374,2023-12-09 15:56:56+00:00,106
375,2023-12-09 17:55:00+00:00,108
376,2023-12-09 19:53:04+00:00,109
377,2023-12-09 21:51:08+00:00,108
378,2023-12-09 23:49:12+00:00,106
379,2023-12-10 01:47:16+00:00,109
380,2023-12-10 03:45:20+00:00,108
381,2023-12-10 05:43:24+00:00,111
382,2023-12-10 07:41:28+00:00,106
383,2023-12-10 09:39:32+00:00,108
384,2023-12-10 11:37:36+00:00,106
385,2023-12-10 13:35:40+00:00,108
386,2023-12-10 15:33:44+00:00,104
387,2023-12-10 17:31:48+00:00,108
388,2023-12-10 19:29:52+00:00,108
389,2023-12-10 21:27:56+00:00,110
390,2023-12-10 23:26:00+00:00,108
391,2023-12-11 01:24:04+00:00,113
392,2023-12-11 03:22:08+00:00,110
393,2023-12-11 05:20:12+00:00,108
394,2023-12-11 07:18:16+00:00,104
395,2023-12-11 09:16:20+00:00,103
396,2023-12-11 11:14:24+00:00,112
397,2023-12-11 13:12:28+00:00,112
398,2023-12-11 15:10:32+00:00,106
399,2023-12-11 17:08:36+00:00,108
400,2023-12-11 19:06:40+00:00,112
401,2023-12-11 21:04:44+00:00,112
402,2023-12-11 23:02:48+00:00,111
403,2023-12-12 01:00:52+00:00,114
404,2023-12-12 02:58:56+00:00,112
405,2023-12-12 04:57:00+00:00,111
406,2023-12-12 06:55:04+00:00,109
407,2023-12-12 08:53:08+00:00,102
408,2023-12-12 10:51:12+00:00,115
409,2023-12-12 12:49:16+00:00,113
410,2023-12-12 14:47:20+00:00,108
411,2023-12-12 16:45:24+00:00,115
412,2023-12-12 18:43:28+00:00,111
413,2023-12-12 20:41:32+00:00,112
414,2023-12-12 22:39:36+00:00,111
415,2023-12-13 00:37:40+00:00,106
416,2023-12-13 02:35:44+00:00,113
417,2023-12-13 04:33:48+00:00,111
418,2023-12-13 06:31:52+00:00,108
419,2023-12-13 08:29:56+00:00,116
420,2023-12-13 10:28:00+00:00,103
421,2023-12-13 12:26:04+00:00,117
422,2023-12-13 14:24:08+00:00,112
423,2023-12-13 16:22:12+00:00,113
424,2023-12-13 18:20:16+00:00,112
425,2023-12-13 20:18:20+00:00,112
426,2023-12-13 22:16:24+00:00,111
427,2023-12-14 00:14:28+00:00,115
428,2023-12-14 02:12:32+00:00,114
429,2023-12-14 04:10:36+00:00,108
430,2023-12-14 06:08:40+00:00,107
431,2023-12-14 08:06:44+00:00,110
432,2023-12-14 10:04:48+00:00,115
433,2023-12-14 12:02:52+00:00,115
434,2023-12-14 14:00:56+00:00,116
435,2023-12-14 15:59:00+00:00,117
436,2023-12-14 17:57:04+00:00,120
437,2023-12-14 19:55:08+00:00,113
438,2023-12-14 21:53:12+00:00,114
439,2023-12-14 23:51:16+00:00,111
440,2023-12-15 01:49:20+00:00,115
441,2023-12-15 03:47:24+00:00,116
442,2023-12-15 05:45:28+00:00,123
443,2023-12-15 07:43:32+00:00,109
444,2023-12-15 09:41:36+00:00,112
445,2023-12-15 11:39:40+00:00,113
446,2023-12-15 13:37:44+00:00,115
447,2023-12-15 15:35:48+00:00,116
448,2023-12-15 17:33:52+00:00,116
449,2023-12-15 19:31:56+00:00,111
450,2023-12-15 21:30:00+00:00,115
451,2023-12-15 23:28:04+00:00,111
452,2023-12-16 01:26:08+00:00,116
453,2023-12-16 03:24:12+00:00,116
454,2023-12-16 05:22:16+00:00,112
455,2023-12-16 07:20:20+00:00,112
456,2023-12-16 09:18:24+00:00,127
457,2023-12-16 11:16:28+00:00,116
458,2023-12-16 13:14:32+00:00,121
459,2023-12-16 15:12:36+00:00,117
460,2023-12-16 17:10:40+00:00,116
461,2023-12-16 19:08:44+00:00,117
462,2023-12-16 21:06:48+00:00,115
463,2023-12-16 23:04:52+00:00,111
464,2023-12-17 01:02:56+00:00,119
465,2023-12-17 03:01:00+00:00,113
466,2023-12-17 04:59:04+00:00,119
467,2023-12-17 06:57:08+00:00,114
468,2023-12-17 08:55:12+00:00,125
469,2023-12-17 10:53:16+00:00,108
470,2023-12-17 12:51:20+00:00,118
471,2023-12-17 14:49:24+00:00,113
472,2023-12-17 16:47:28+00:00,113
473,2023-12-17 18:45:32+00:00,118
474,2023-12-17 20:43:36+00:00,114
475,2023-12-17 22:41:40+00:00,116
476,2023-12-18 00:39:44+00:00,114
477,2023-12-18 02:37:48+00:00,117
478,2023-12-18 04:35:52+00:00,119
479,2023-12-18 06:33:56+00:00,124
480,2023-12-18 08:32:00+00:00,112
481,2023-12-18 10:30:04+00:00,116
482,2023-12-18 12:28:08+00:00,114
483,2023-12-18 14:26:12+00:00,117
484,2023-12-18 16:24:16+00:00,116
485,2023-12-18 18:22:20+00:00,114
486,2023-12-18 20:20:24+00:00,114
487,2023-12-18 22:18:28+00:00,118
488,2023-12-19 00:16:32+00:00,115
489,2023-12-19 02:14:36+00:00,124
490,2023-12-19 04:12:40+00:00,119
491,2023-12-19 06:10:44+00:00,112
492,2023-12-19 08:08:48+00:00,125
493,2023-12-19 10:06:52+00:00,106
494,2023-12-19 12:04:56+00:00,109
495,2023-12-19 14:03:00+00:00,122
496,2023-12-19 16:01:04+00:00,122
497,2023-12-19 17:59:08+00:00,122
498,2023-12-19 19:57:12+00:00,122
499,2023-12-19 21:55:16+00:00,122
